4007721,12,13,117
4122232,25,42,208
4331145,25,42,217
4331159,25,42,217
4376443,1,20,68
1073783,254,257,283
1237950,1,20,68
1459104,1,20,68
264432,12,13,117
2843346,25,48,210
2903771,25,48,531
3069983,25,46,248
4712312,12,13,104
4872328,254,256,262
5154376,12,13,117
5217640,12,13,117
5222162,25,42,217
5224000,25,42,43
5225096,25,42,217
5352358,25,42,208
5696028,25,42,208
5830373,25,48,210
5832813,25,42,43
5835449,25,42,45
5955224,1,21,204
5988675,25,42,45
5988687,25,42,45
5991355,25,42,43
6013163,12,14,16
6043513,1,22,220
6050484,1,22,220
6383212,25,42,43
6383824,25,42,43
6450334,25,42,45
6543079,25,42,43
6555083,1,5,6
6578189,25,42,43
6614602,25,42,45
6626437,1,18,39
6749532,25,42,217
6805332,25,42,217
6828065,25,42,45
7050628,25,42,43
7350988,1,20,88
7464663,1,21,233
7555165,25,42,45
7615636,25,42,45
7615650,25,42,45
